#index,total_evals,nonsep_0,nonsep_1,nonsep_2,nonsep_3,nonsep_4,nonsep_5,nonsep_6,nonsep_7,nonsep_8,nonsep_9,nonsep_10,nonsep_11,nonsep_12,nonsep_13,nonsep_14,nonsep_15,nonsep_16,nonsep_17,nonsep_18,nonsep_19
18,,,,3_bfrdata_in[5],4_autoCreatedSpl2id23,5_or_bi_253_,6_autoCreatedSpl2id126,7_autoCreatedSpl2id37,8_autoCreatedSpl3id66,9_or_bb_362_,10_or_bb_381_,11_and_bi_341_,12_and_bi_384_,13_bfr_152_,14_bfr_064_,15_bfr_071_,,,,,
19,,,,3_bfrdata_in[6],4_autoCreatedSpl3id28,5_autoCreatedSpl2id98,6_autoCreatedSpl2id128,7_autoCreatedSpl2id43,8_autoCreatedSpl3id82,9_autoCreatedSpl2id41,10_autoCreatedSpl2id33,11_and_bi_352_,12_autoCreatedSpl2id40,13_bfr_autonet61_,14_bfr_autonet112_,15_bfr_autonet115_,,,,,
20,,,,3_bfr_autonet171_,4_autoCreatedSpl3id29,5_autoCreatedSpl2id100,6_autoCreatedSpl2id134,7_autoCreatedSpl3id78,8_autoCreatedSpl3id83,9_autoCreatedSpl2id49,10_autoCreatedSpl3id39,11_and_bi_357_,12_autoCreatedSpl2id86,13_bfr_autonet72_,14_bfr_080_,15_bfr_autonet142_,,,,,
21,,,,3_bfr_autonet185_,4_autoCreatedSpl2id45,5_autoCreatedSpl2id101,6_bfr_autonet17_,7_autoCreatedSpl3id79,8_autoCreatedSpl2id84,9_autoCreatedSpl3id50,10_autoCreatedSpl3id51,11_or_bb_366_,12_autoCreatedSpl2id103,13_bfr_autonet77_,14_bfr_086_,15_bfrautoSplNet95,,,,,
22,,,,3_bfr_autonet295_,4_autoCreatedSpl2id53,5_autoCreatedSpl2id106,6_bfr_autonet26_,7_autoCreatedSpl3id107,8_autoCreatedSpl3id89,9_autoCreatedSpl2id59,10_autoCreatedSpl2id52,11_and_bi_379_,12_autoCreatedSpl2id109,13_bfr_060_,14_bfr_autonet134_,15_bfrautoSplNet293,,,,,
23,,,,,4_autoCreatedSpl3id55,5_autoCreatedSpl2id125,6_bfr_autonet31_,7_autoCreatedSpl2id116,8_autoCreatedSpl2id96,9_autoCreatedSpl2id67,10_autoCreatedSpl3id74,11_and_bi_382_,12_bfr_autonet15_,13_bfr_062_,14_bfr_autonet141_,15_bfr_autonet314_,,,,,
24,,,,,4_autoCreatedSpl3id68,5_autoCreatedSpl2id148,6_bfr_autonet38_,7_autoCreatedSpl2id127,8_autoCreatedSpl2id99,9_autoCreatedSpl2id75,10_autoCreatedSpl2id90,11_autoCreatedSpl3id13,12_bfr_autonet35_,13_bfr_autonet109_,14_bfr_105_,,,,,,
25,,,,,4_autoCreatedSpl2id141,5_bfr_autonet37_,6_bfr_autonet49_,7_autoCreatedSpl2id129,8_autoCreatedSpl3id102,9_autoCreatedSpl2id76,10_autoCreatedSpl2id93,11_autoCreatedSpl2id85,12_bfr_autonet78_,13_bfr_autonet111_,14_bfrautoSplNet31,,,,,,
26,,,,,4_bfr_autonet161_,5_bfr_autonet48_,6_bfr_176_,7_autoCreatedSpl2id135,8_autoCreatedSpl2id111,9_autoCreatedSpl2id104,10_autoCreatedSpl2id97,11_autoCreatedSpl2id110,12_bfr_autonet89_,13_bfr_autonet121_,14_bfr_autonet232_,,,,,,
27,,,,,4_bfr_autonet163_,5_bfr_autonet57_,6_bfr_autonet86_,7_autoCreatedSpl2id144,8_autoCreatedSpl2id118,9_autoCreatedSpl3id113,10_autoCreatedSpl2id115,11_autoCreatedSpl2id112,12_bfr_053_,13_bfr_autonet129_,14_bfr_autonet248_,,,,,,
28,,,,,4_bfr_autonet172_,5_bfr_autonet85_,6_bfr_autonet124_,7_autoCreatedSpl2id149,8_autoCreatedSpl2id121,9_autoCreatedSpl2id120,10_autoCreatedSpl2id119,11_autoCreatedSpl2id117,12_bfr_autonet96_,13_bfr_autonet154_,14_bfr_autonet271_,,,,,,
29,,,,,4_bfr_autonet176_,5_bfr_autonet114_,6_bfr_autonet148_,7_autoCreatedSpl2id154,8_autoCreatedSpl2id130,9_autoCreatedSpl2id131,10_autoCreatedSpl2id133,11_autoCreatedSpl2id143,12_bfr_autonet105_,13_bfr_autonet202_,14_bfrautoSplNet274,,,,,,
30,,,,,4_bfr_autonet177_,5_bfr_autonet123_,6_bfr_autonet165_,7_bfr_autonet27_,8_autoCreatedSpl2id145,9_autoCreatedSpl2id132,10_autoCreatedSpl2id152,11_autoCreatedSpl2id151,12_bfr_autonet108_,13_bfr_autonet231_,14_bfrautoSplNet278,,,,,,
31,,,,,4_bfr_autonet186_,5_bfr_autonet147_,6_bfr_autonet174_,7_bfr_autonet32_,8_autoCreatedSpl2id146,9_autoCreatedSpl2id142,10_bfr_autonet13_,11_autoCreatedSpl2id153,12_bfr_autonet120_,13_bfr_autonet270_,14_bfr_autonet292_,,,,,,
32,,,,,4_bfr_autonet193_,5_bfrautoSplNet8,6_bfrautoSplNet23,7_bfr_autonet39_,8_autoCreatedSpl2id150,9_autoCreatedSpl2id147,10_bfr_137_,11_autoCreatedSpl2id155,12_bfr_autonet136_,13_bfr_autonet281_,,,,,,,
33,,,,,4_bfr_autonet204_,5_bfr_autonet164_,6_bfr_autonet188_,7_bfr_autonet50_,8_bfr_autonet11_,9_bfr_autonet12_,10_bfr_autonet24_,11_bfr_autonet14_,12_bfr_098_,13_bfr_autonet283_,,,,,,,
34,,,,,4_bfr_autonet213_,5_bfr_autonet173_,6_bfr_autonet195_,7_bfr_autonet59_,8_bfr_147_,9_bfr_autonet18_,10_bfr_157_,11_bfr_145_,12_bfr_autonet153_,13_bfrautoSplNet288,,,,,,,
35,,,,,4_bfr_autonet239_,5_bfr_autonet178_,6_bfr_autonet206_,7_bfr_autonet87_,8_bfr_151_,9_bfr_autonet23_,10_bfr_autonet53_,11_bfr_autonet34_,12_bfr_autonet201_,13_bfr_autonet291_,,,,,,,
36,,,,,4_bfr_autonet249_,5_bfr_autonet187_,6_bfrautoSplNet65,7_bfr_autonet125_,8_bfr_autonet40_,9_bfr_autonet41_,10_bfr_autonet70_,11_bfr_171_,12_bfr_autonet230_,13_bfrautoSplNet91,,,,,,,
37,,,,,4_bfr_autonet250_,5_bfr_autonet194_,6_bfr_autonet215_,7_bfr_autonet149_,8_bfr_autonet46_,9_bfr_169_,10_bfr_autonet91_,11_bfr_autonet69_,12_bfrautoSplNet112,13_bfrautoSplNet109,,,,,,,
38,,,,,4_bfrautoSplNet311,5_bfr_autonet205_,6_bfr_autonet219_,7_bfr_autonet166_,8_bfr_autonet51_,9_bfr_autonet52_,10_bfr_autonet94_,11_bfr_019_,12_bfrautoSplNet115,13_bfrautoSplNet306,,,,,,,
39,,,,,4_bfr_autonet310_,5_bfr_autonet211_,6_bfr_autonet222_,7_bfrautoSplNet18,8_bfr_autonet75_,9_bfr_026_,10_bfr_autonet103_,11_bfr_autonet92_,12_bfr_autonet257_,,,,,,,,
40,,,,,,5_bfr_autonet214_,6_bfr_autonet243_,7_bfr_autonet180_,8_bfr_autonet79_,9_bfr_035_,10_bfr_084_,11_bfr_autonet95_,12_bfr_autonet280_,,,,,,,,
41,,,,,,5_bfr_autonet218_,6_bfr_autonet253_,7_bfr_autonet189_,8_bfr_040_,9_bfr_autonet90_,10_bfr_autonet138_,11_bfr_autonet104_,12_bfr_autonet287_,,,,,,,,
42,,,,,,5_bfr_autonet221_,6_bfr_autonet264_,7_bfr_autonet196_,8_bfr_autonet126_,9_bfr_autonet102_,10_bfr_103_,11_bfr_autonet107_,12_bfr_autonet290_,,,,,,,,
43,,,,,,5_bfr_autonet242_,6_bfr_autonet267_,7_bfr_autonet207_,8_bfr_autonet150_,9_bfr_autonet119_,10_bfr_autonet169_,11_bfr_autonet139_,12_bfr_autonet304_,,,,,,,,
44,,,,,,5_bfr_autonet252_,6_bfr_autonet272_,7_bfr_autonet216_,8_bfr_autonet167_,9_bfr_autonet127_,10_bfr_autonet183_,11_bfrautoSplNet10,12_bfr_autonet307_,,,,,,,,
45,,,,,,5_bfr_autonet311_,6_bfr_autonet297_,7_bfrautoSplNet81,8_bfr_autonet181_,9_bfr_autonet135_,10_bfrautoSplNet28,11_bfrautoSplNet25,12_bfr_autonet319_,,,,,,,,
46,,,,,,5_bfr_autonet315_,6_bfr_autonet312_,7_bfr_autonet223_,8_bfr_autonet190_,9_bfr_autonet137_,10_bfr_autonet199_,11_bfr_autonet200_,12_bfr_autonet327_,,,,,,,,
47,,,,,,,6_bfr_autonet316_,7_bfr_autonet244_,8_bfr_autonet197_,9_bfr_autonet151_,10_bfrautoSplNet34,11_bfr_autonet229_,12_bfr_autonet331_,,,,,,,,
48,,,,,,,6_bfr_autonet320_,7_bfrautoSplNet178,8_bfr_autonet208_,9_bfr_autonet156_,10_bfrautoSplNet90,11_bfr_autonet234_,,,,,,,,,
49,,,,,,,,7_bfr_autonet258_,8_bfrautoSplNet72,9_bfr_autonet168_,10_bfr_autonet236_,11_bfr_autonet237_,,,,,,,,,
50,,,,,,,,7_bfr_autonet260_,8_bfr_autonet224_,9_bfr_autonet182_,10_bfr_autonet241_,11_bfrautoSplNet200,,,,,,,,,
51,,,,,,,,7_bfr_autonet273_,8_bfr_autonet226_,9_bfr_autonet191_,10_bfr_autonet247_,11_bfr_autonet279_,,,,,,,,,
52,,,,,,,,7_bfrautoSplNet69,8_bfrautoSplNet150,9_bfr_autonet198_,10_bfr_autonet251_,11_bfr_autonet286_,,,,,,,,,
53,,,,,,,,7_bfrautoSplNet147,8_bfr_autonet261_,9_bfr_autonet209_,10_bfr_autonet255_,11_bfr_autonet289_,,,,,,,,,
54,,,,,,,,7_bfrautoSplNet185,8_bfr_autonet274_,9_bfrautoSplNet82,10_bfrautoSplNet237,11_bfr_autonet303_,,,,,,,,,
55,,,,,,,,,8_bfr_autonet276_,9_bfr_autonet227_,10_bfrautoSplNet255,11_bfr_autonet306_,,,,,,,,,
56,,,,,,,,,8_bfr_autonet299_,9_bfr_autonet240_,10_bfrautoSplNet261,11_bfrautoSplNet240,,,,,,,,,
57,,,,,,,,,8_bfr_autonet300_,9_bfr_autonet246_,10_bfr_autonet278_,,,,,,,,,,
58,,,,,,,,,8_bfr_autonet309_,9_bfr_autonet259_,10_bfr_autonet285_,,,,,,,,,,
59,,,,,,,,,8_bfr_autonet321_,9_bfr_autonet262_,10_bfr_autonet294_,,,,,,,,,,
60,,,,,,,,,8_bfr_autonet328_,9_bfr_autonet265_,10_bfr_autonet302_,,,,,,,,,,
61,,,,,,,,,,9_bfr_autonet268_,10_bfr_autonet318_,,,,,,,,,,
62,,,,,,,,,,9_bfrautoSplNet271,10_bfr_autonet323_,,,,,,,,,,
63,,,,,,,,,,9_bfr_autonet277_,10_bfrautoSplNet324,,,,,,,,,,
64,,,,,,,,,,9_bfrautoSplNet87,10_bfrautoSplNet326,,,,,,,,,,
65,,,,,,,,,,9_bfr_autonet322_,,,,,,,,,,,
66,,,,,,,,,,9_bfr_autonet325_,,,,,,,,,,,
67,,,,,,,,,,9_bfr_autonet329_,,,,,,,,,,,
