#index,total_evals,nonsep_0,nonsep_1,nonsep_2,nonsep_3,nonsep_4,nonsep_5,nonsep_6,nonsep_7,nonsep_8,nonsep_9,nonsep_10,nonsep_11,nonsep_12,nonsep_13,nonsep_14,nonsep_15,nonsep_16,nonsep_17,nonsep_18,nonsep_19,nonsep_20,nonsep_21,nonsep_22,nonsep_23,nonsep_24,nonsep_25
10,,1_data_in[10],2_bfr_autonet6_,3_autoCreatedSpl2id352,4_autoCreatedSpl3id35,5_and_bb_0624_,6_and_bb_0572_,7_and_bi_0677_,8_and_bb_0879_,9_or_bb_0776_,10_or_bb_0705_,11_and_bi_0693_,12_or_ii_0743_,13_and_bi_0600_,14_and_bi_0724_,15_and_bi_0808_,16_and_bi_0836_,17_and_bi_0727_,18_or_bb_0799_,19_or_bi_0834_,20_and_bi_1001_,21_and_bi_0982_,22_or_ii_1006_,23_bfr_0032_,24_bfr_autonet200_,25_bfrdata_out[10],26_data_out[10]
11,,1_data_in[11],2_bfr_autonet8_,3_autoCreatedSpl2id356,4_autoCreatedSpl3id36,5_or_bi_0638_,6_and_bi_0581_,7_and_bi_0681_,8_or_bb_0932_,9_and_bi_0777_,10_or_bb_0742_,11_and_bi_0697_,12_and_bi_0763_,13_or_ii_0612_,14_and_bi_0732_,15_and_bi_0825_,16_and_bi_0849_,17_or_bb_0733_,18_and_bi_0805_,19_or_bb_0859_,20_or_bb_1043_,21_and_bi_1005_,22_or_bb_1024_,23_bfr_autonet77_,24_bfr_autonet216_,25_bfrdata_out[11],26_data_out[11]
12,,1_data_in[12],2_bfr_autonet10_,3_autoCreatedSpl2id358,4_autoCreatedSpl3id37,5_and_bb_0639_,6_inv_0583_,7_inv_0759_,8_and_bi_0953_,9_or_bb_0780_,10_or_bb_0744_,11_and_bi_0703_,12_and_bi_0783_,13_and_bi_0643_,14_or_bi_0736_,15_and_bi_0831_,16_and_bi_0852_,17_and_bi_0793_,18_or_bb_0812_,19_or_bb_0878_,20_or_bb_1060_,21_and_bi_1023_,22_or_bb_1045_,23_bfr_0187_,24_bfr_autonet242_,25_bfr_autonet346_,26_data_out[12]
13,,1_data_in[13],2_bfr_autonet12_,3_autoCreatedSpl2id462,4_autoCreatedSpl3id38,5_inv_0645_,6_inv_0614_,7_and_bi_0768_,8_and_bi_0967_,9_and_bi_0781_,10_and_bi_0745_,11_and_bi_0746_,12_and_bi_0790_,13_or_bb_0649_,14_and_bi_0748_,15_or_bb_0856_,16_and_bi_0857_,17_and_bi_0798_,18_and_bi_0838_,19_and_bi_0892_,20_or_bb_1085_,21_or_bb_1044_,22_and_bi_1065_,23_bfr_autonet165_,24_bfr_autonet263_,25_bfr_autonet363_,26_data_out[13]
14,,1_data_in[14],2_bfr_autonet14_,3_bfrdata_in[1],4_autoCreatedSpl3id47,5_or_bi_0646_,6_or_ii_0656_,7_and_bi_0819_,8_or_ii_0983_,9_inv_0786_,10_or_ii_0751_,11_and_bi_0757_,12_or_bb_0813_,13_and_bi_0653_,14_and_bi_0765_,15_or_bb_0865_,16_and_bi_0867_,17_and_bi_0804_,18_or_bb_0858_,19_and_bi_0920_,20_autoCreatedSpl2id296,21_and_bi_1061_,22_bfr_autonet66_,23_bfr_autonet185_,24_bfr_autonet305_,25_bfrdata_out[14],26_data_out[14]
15,,1_data_in[15],2_bfr_autonet16_,3_bfrdata_in[2],4_autoCreatedSpl2id119,5_and_bb_0647_,6_or_ii_0749_,7_and_bi_0871_,8_or_ii_0986_,9_or_bb_0787_,10_and_bi_0756_,11_and_bi_0762_,12_and_bi_0814_,13_and_bi_0662_,14_or_bb_0785_,15_and_bi_0877_,16_or_bb_0885_,17_or_bb_0811_,18_and_bi_0869_,19_and_bi_0948_,20_autoCreatedSpl2id331,21_autoCreatedSpl2id467,22_bfr_autonet76_,23_bfr_autonet199_,24_bfr_autonet319_,25_bfrdata_out[15],26_data_out[15]
16,,1_sh_amt[0],2_bfr_autonet18_,3_bfrdata_in[3],4_autoCreatedSpl2id120,5_and_bi_0650_,6_autoCreatedSpl2id4,7_and_bb_0906_,8_or_bi_0992_,9_and_bi_0788_,10_or_ii_0760_,11_and_bi_0769_,12_or_bb_0823_,13_and_bi_0673_,14_or_bb_0791_,15_and_bi_0882_,16_or_bi_0887_,17_or_bb_0833_,18_and_bi_0884_,19_or_bb_1000_,20_bfr_autonet33_,21_bfr_0517_,22_bfr_0113_,23_bfr_autonet241_,24_bfr_autonet379_,,
17,,1_sh_amt[1],2_bfr_autonet20_,3_bfrdata_in[4],4_autoCreatedSpl2id136,5_or_ii_0651_,6_autoCreatedSpl3id94,7_and_bi_0931_,8_and_bi_1012_,9_or_bb_0795_,10_or_bb_0767_,11_or_bb_0779_,12_and_bi_0875_,13_or_bb_0678_,14_or_bi_0796_,15_inv_0888_,16_and_bi_0889_,17_and_bi_0837_,18_or_bi_0886_,19_or_ii_1036_,20_bfr_autonet64_,21_bfr_autonet65_,22_bfr_0168_,23_bfr_0376_,24_bfr_autonet401_,,
18,,1_sh_amt[2],2_bfr_autonet22_,3_bfrdata_in[5],4_autoCreatedSpl2id147,5_and_bi_0658_,6_autoCreatedSpl2id175,7_and_bb_0935_,8_or_bi_1026_,9_or_bb_0820_,10_and_bi_0778_,11_and_bi_0810_,12_or_bb_0880_,13_and_bi_0682_,14_or_bi_0803_,15_or_bb_0899_,16_and_bi_0904_,17_and_bi_0853_,18_and_bi_0891_,19_or_bb_1037_,20_bfr_autonet74_,21_bfr_autonet75_,22_bfr_autonet130_,23_bfr_autonet304_,,,
19,,1_sh_amt[3],2_bfr_autonet24_,3_bfrdata_in[6],4_autoCreatedSpl2id148,5_or_ii_0659_,6_autoCreatedSpl2id176,7_and_bi_0971_,8_or_bb_1069_,9_and_bi_0821_,10_and_bi_0782_,11_and_bi_0844_,12_and_bi_0900_,13_and_bi_0698_,14_and_bi_0824_,15_and_bi_0903_,16_or_bb_0913_,17_and_bi_0868_,18_or_bi_0915_,19_and_bi_1041_,20_bfr_autonet98_,21_bfr_autonet92_,22_bfr_0192_,23_bfr_0435_,,,
20,,1_sh_ctrl[0],2_bfr_autonet26_,3_bfrdata_in[7],4_autoCreatedSpl2id153,5_or_bi_0666_,6_autoCreatedSpl2id188,7_inv_1011_,8_autoCreatedSpl3id51,9_or_bi_0846_,10_or_bi_0789_,11_and_bi_0870_,12_and_bi_0925_,13_and_bi_0704_,14_or_bb_0830_,15_or_bb_0934_,16_or_bb_0914_,17_and_bi_0883_,18_and_bi_0919_,19_or_bb_1084_,20_bfr_autonet117_,21_bfr_autonet118_,22_bfr_autonet164_,23_bfr_0458_,,,
21,,1_sh_ctrl[1],2_bfr_autonet28_,3_bfrdata_in[8],4_autoCreatedSpl2id154,5_or_ii_0667_,6_autoCreatedSpl2id189,7_and_bi_1049_,8_autoCreatedSpl3id52,9_or_bb_0872_,10_and_bi_0822_,11_and_bi_0909_,12_and_bi_0927_,13_and_bi_0707_,14_and_bi_0848_,15_or_ii_0942_,16_and_bi_0916_,17_or_bb_0890_,18_or_bb_0946_,19_autoCreatedSpl2id240,20_bfr_autonet128_,21_bfr_autonet129_,22_bfr_0296_,23_bfr_autonet378_,,,
22,,,,3_bfrdata_in[9],4_autoCreatedSpl3id165,5_and_bb_0670_,6_autoCreatedSpl2id194,7_autoCreatedSpl3id46,8_autoCreatedSpl3id53,9_and_bi_0873_,10_or_bb_0842_,11_and_bi_0956_,12_and_bi_0930_,13_or_bb_0722_,14_and_bi_0850_,15_and_bi_0943_,16_and_bi_0918_,17_and_bi_0905_,18_inv_0964_,19_autoCreatedSpl2id271,20_bfr_autonet136_,21_bfr_autonet137_,22_bfr_0357_,23_bfr_autonet400_,,,
23,,,,3_bfrdata_in[10],4_autoCreatedSpl2id166,5_and_bi_0675_,6_autoCreatedSpl2id195,7_autoCreatedSpl3id50,8_autoCreatedSpl3id65,9_or_bb_0907_,10_and_bi_0843_,11_or_bb_0961_,12_or_bb_0939_,13_and_bi_0723_,14_and_bi_0855_,15_or_bb_0959_,16_and_bi_0944_,17_and_bi_0917_,18_or_bb_0968_,19_autoCreatedSpl3id330,20_bfr_0218_,21_bfr_autonet163_,22_bfr_autonet271_,23_bfrautoSplNet586,,,
24,,,,3_bfrdata_in[11],4_autoCreatedSpl2id167,5_or_ii_0676_,6_autoCreatedSpl2id210,7_autoCreatedSpl3id68,8_autoCreatedSpl3id66,9_or_bb_0936_,10_and_bi_0847_,11_and_bi_0995_,12_and_bi_0940_,13_or_bb_0726_,14_and_bi_0864_,15_and_bi_0981_,16_and_bi_0963_,17_or_bb_0945_,18_or_bb_0988_,19_autoCreatedSpl2id347,20_bfr_autonet162_,21_bfr_0251_,22_bfr_0384_,,,,
25,,,,3_bfrdata_in[12],4_autoCreatedSpl2id174,5_or_bi_0679_,6_autoCreatedSpl2id219,7_autoCreatedSpl3id97,8_autoCreatedSpl3id70,9_and_bi_0937_,10_and_bi_0874_,11_and_bi_1015_,12_and_bi_0962_,13_or_bb_0730_,14_and_bi_0866_,15_and_bi_0998_,16_and_bi_1004_,17_and_bi_0966_,18_and_bi_0999_,19_autoCreatedSpl2id459,20_bfr_autonet183_,21_bfr_0269_,22_bfr_0407_,,,,
26,,,,3_bfrdata_in[13],4_autoCreatedSpl2id186,5_and_bb_0680_,6_autoCreatedSpl2id224,7_autoCreatedSpl2id121,8_autoCreatedSpl2id71,9_and_bi_0955_,10_or_bb_0901_,11_or_bb_1029_,12_and_bi_0975_,13_and_bi_0731_,14_and_bi_0898_,15_or_bb_1003_,16_and_bi_1007_,17_and_bi_0984_,18_or_bb_1010_,19_autoCreatedSpl2id465,20_bfr_autonet193_,21_bfr_autonet208_,22_bfr_autonet326_,,,,
27,,,,3_bfrdata_in[14],4_autoCreatedSpl2id187,5_and_bb_0690_,6_autoCreatedSpl2id225,7_autoCreatedSpl2id122,8_autoCreatedSpl2id118,9_or_bb_0972_,10_and_bi_0908_,11_or_bb_1042_,12_and_bi_0976_,13_or_bb_0734_,14_and_bi_0902_,15_or_bb_1019_,16_and_bi_1008_,17_and_bi_0987_,18_and_bi_1058_,19_bfr_autonet73_,20_bfr_0275_,21_bfr_0328_,22_bfr_0436_,,,,
28,,,,3_bfr_autonet411_,4_autoCreatedSpl2id192,5_and_bi_0861_,6_autoCreatedSpl2id228,7_autoCreatedSpl2id140,8_autoCreatedSpl3id190,9_and_bi_0973_,10_and_bi_0938_,11_or_bb_1052_,12_and_bi_1017_,13_and_bi_0735_,14_and_bi_0912_,15_or_bb_1021_,16_and_bi_1022_,17_or_bb_1009_,18_or_bb_1059_,19_bfr_autonet127_,20_bfr_autonet207_,21_bfr_autonet258_,22_bfr_autonet352_,,,,
29,,,,3_bfr_autonet794_,4_autoCreatedSpl2id193,5_or_ii_0929_,6_autoCreatedSpl2id229,7_autoCreatedSpl2id149,8_autoCreatedSpl3id196,9_and_bi_1014_,10_or_bb_0954_,11_or_bb_1072_,12_or_bb_1030_,13_and_bi_0747_,14_and_bi_0928_,15_or_bb_1033_,16_and_bi_1034_,17_and_bi_1035_,18_and_bi_1079_,19_bfr_autonet135_,20_bfr_0304_,21_bfr_0364_,22_bfr_0459_,,,,
30,,,,3_bfr_autonet810_,4_autoCreatedSpl2id353,5_or_bi_0960_,6_autoCreatedSpl2id234,7_autoCreatedSpl2id150,8_autoCreatedSpl3id204,9_and_bi_1050_,10_and_bi_0974_,11_or_bi_1082_,12_and_bi_1053_,13_or_ii_0758_,14_or_bb_0933_,15_and_bi_1056_,16_or_bb_1038_,17_and_bi_1039_,18_or_bb_1101_,19_bfr_autonet156_,20_bfr_autonet228_,21_bfr_autonet270_,22_bfr_autonet377_,,,,
31,,,,3_bfr_autonet889_,4_autoCreatedSpl2id354,5_or_bi_1002_,6_autoCreatedSpl2id235,7_autoCreatedSpl2id155,8_autoCreatedSpl3id206,9_and_bi_1070_,10_or_ii_0993_,11_and_bi_1094_,12_or_bb_1073_,13_or_bb_0764_,14_or_bb_0947_,15_and_bi_1062_,16_and_bi_1040_,17_or_bb_1064_,18_autoCreatedSpl2id160,19_bfr_autonet161_,20_bfr_0336_,21_bfr_0380_,22_bfr_autonet399_,,,,
32,,,,,4_autoCreatedSpl2id357,5_autoCreatedSpl3id39,6_autoCreatedSpl2id241,7_autoCreatedSpl2id156,8_autoCreatedSpl2id220,9_or_bb_1090_,10_and_bi_0994_,11_autoCreatedSpl3id80,12_and_bi_1095_,13_or_bb_0770_,14_or_bb_0958_,15_and_bi_1076_,16_or_bi_1057_,17_and_bi_1078_,18_autoCreatedSpl2id303,19_bfr_autonet167_,20_bfr_autonet257_,21_bfr_autonet284_,22_bfr_autonet590_,,,,
33,,,,,4_autoCreatedSpl2id360,5_autoCreatedSpl3id40,6_autoCreatedSpl2id242,7_autoCreatedSpl2id168,8_autoCreatedSpl3id226,9_and_bi_1091_,10_or_bb_1013_,11_autoCreatedSpl3id81,12_autoCreatedSpl3id16,13_and_bi_0784_,14_or_bb_0978_,15_or_bb_1083_,16_and_bi_1063_,17_and_bi_1100_,18_autoCreatedSpl2id346,19_bfr_autonet196_,20_bfr_autonet261_,21_bfr_0397_,22_bfr_autonet926_,,,,
